Chunk,Version ,Issues_with_model,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3),Convex Hull Volume (cm^3)
1-1 (FE-POC61),1,no, 1-1 (FE-POC61)_open_200K,Mesh,1687.838566,326.5818592,9.902260898,-5.803455194,15.70571609,0,6596.485032,3123.057453
1-1 (FE-POC61),1,no, 1-1 (FE-POC61)_closed_200K,Mesh,1792.654756,326.5566179,9.902260898,-5.803455194,15.70571609,1435.430438,6596.309182,3118.967266
1-2A (FE-POC62),1,no, 1-2A (FE-POC62)_open_200K,Mesh,1575.674523,339.8578851,10.74250662,-5.572637149,16.31514377,0,7564.590265,3316.017454
1-2A (FE-POC62),1,no, 1-2A (FE-POC62)_closed_200K,Mesh,1659.393119,339.867183,10.74250662,-5.572637149,16.31514377,1755.475392,7564.590265,3315.13853
1-2B (FE-POC63),1,no, 1-2B (FE-POC63)_open_200K,Mesh,1599.345413,340.0651004,10.89031964,-8.337293477,19.22761311,0,9365.728446,3721.005422
1-2B (FE-POC63),1,no, 1-2B (FE-POC63)_closed_200K,Mesh,1764.543672,340.0649574,10.88680832,-8.337293477,19.2241018,1369.658065,9364.311811,3716.698634
1-2C (FE-POC64),1,no, 1-2C (FE-POC64)_open_200K,Mesh,1559.25353,324.5796596,11.21642778,-5.512060097,16.72848788,0,6688.556906,3097.230321
1-2C (FE-POC64),1,no, 1-2C (FE-POC64)_closed_200K,Mesh,1684.164427,324.5800058,11.2178427,-5.455397478,16.67324018,1362.423582,6666.561048,3094.648829
1-2D (FE-POC65),1,no, 1-2D (FE-POC65)_open_200K,Mesh,1299.887907,254.2040075,8.054193188,-7.409373493,15.46356668,0,5621.182558,2492.682216
1-2D (FE-POC65),1,no, 1-2D (FE-POC65)_closed_200K,Mesh,1456.09219,254.0458995,8.054193188,-7.409373493,15.46356668,1060.961976,5601.584458,2487.913629
1-2E (FE-POC66),1,no, 1-2E (FE-POC66)_open_200K,Mesh,1375.840991,277.5907857,7.220261788,-7.417187958,14.63744975,0,5517.609548,2683.261683
1-2E (FE-POC66),1,no, 1-2E (FE-POC66)_closed_200K,Mesh,1581.576169,277.5728331,7.220261788,-7.412164289,14.63242608,1125.944072,5512.824735,2679.440122
1-2F (FE-POC67),1,no, 1-2F (FE-POC67)_open_200K,Mesh,1836.886387,348.3703914,12.68187108,-5.986509965,18.66838104,0,9274.821799,4028.403856
1-2F (FE-POC67),1,no, 1-2F (FE-POC67)_closed_200K,Mesh,1943.960482,348.3502405,12.68187108,-5.986509965,18.66838104,1650.188919,9274.821799,4027.180175
1-3 (FE-POC68),1,no, 1-3 (FE-POC68)_open_200K,Mesh,1388.165056,277.6175174,9.485845327,-7.133495228,16.61934055,0,6540.971823,2932.286031
1-3 (FE-POC68),1,no, 1-3 (FE-POC68)_closed_200K,Mesh,1536.623176,277.5792374,9.485845327,-7.133495228,16.61934055,1189.243033,6541.524817,2926.587648
1-4A (FE-POC69),1,no, 1-4A (FE-POC69)_open_200K,Mesh,1245.511003,234.2469425,8.223450563,-7.242605448,15.46605601,0,4901.178037,2354.600223
1-4A (FE-POC69),1,no, 1-4A (FE-POC69)_closed_200K,Mesh,1373.603588,234.2281512,8.223450563,-7.242605448,15.46605601,1116.105378,4899.957543,2353.818669
1-4B (FE-POC70),1,no, 1-4B (FE-POC70)_open_200K,Mesh,1606.84292,321.2539931,8.786687393,-6.366250665,15.15293806,0,6785.864825,3014.569485
1-4B (FE-POC70),1,no, 1-4B (FE-POC70)_closed_200K,Mesh,1694.914118,321.2425786,8.786687393,-6.366250665,15.15293806,1020.43102,6785.864825,3012.000106
1-4C (FE-POC71),1,no, 1-4C (FE-POC71)_open_200K,Mesh,1557.902271,273.5790351,11.10761848,-6.169718326,17.27733681,0,6070.771794,2949.676558
1-4C (FE-POC71),1,no, 1-4C (FE-POC71)_closed_200K,Mesh,1652.912159,273.5787119,11.10833919,-6.169718326,17.27805752,1203.263059,6071.025032,2948.593814
1-5 (FE-POC72),1,no, 1-5 (FE-POC72)_open_200K,Mesh,1447.943236,288.3137663,11.40590141,-6.720309426,18.12621083,0,7169.632761,3384.967391
1-5 (FE-POC72),1,no, 1-5 (FE-POC72)_closed_200K,Mesh,1567.533965,288.2503573,11.40590141,-6.696526404,18.10242781,1027.783403,7159.332051,3383.625783
1-6A (FE-POC73),1,no, 1-6A (FE-POC73)_open_200K,Mesh,1260.889501,268.8992405,7.210434903,-6.847426243,14.05786115,0,4886.258887,2342.238792
1-6A (FE-POC73),1,no, 1-6A (FE-POC73)_closed_200K,Mesh,1385.647155,268.8983015,7.211697268,-6.803256335,14.0149536,1003.719569,4871.344999,2341.015536
1-6B (FE-POC74),1,no, 1-6B (FE-POC74)_open_200K,Mesh,2011.103877,368.3067512,10.5916679,-7.70906709,18.30073499,0,8326.034279,4348.233285
1-6B (FE-POC74),1,no, 1-6B (FE-POC74)_closed_200K,Mesh,2154.253733,368.3213619,10.5916679,-7.705840971,18.29750887,1522.579795,8324.566536,4344.241837
1-6C (FE-POC75),1,no, 1-6C (FE-POC75)_open_200K,Mesh,1540.890782,294.660949,9.801355396,-5.536527897,15.33788329,0,5649.839569,2892.691891
1-6C (FE-POC75),1,no, 1-6C (FE-POC75)_closed_200K,Mesh,1636.364273,294.6527195,9.801355396,-5.536527897,15.33788329,1211.681142,5650.722283,2890.747023
1-7 (FE-POC76),1,no, 1-7 (FE-POC76)_open_200K,Mesh,1919.944585,386.3321887,7.609030517,-7.817447055,15.42647757,0,8507.867563,3901.459164
1-7 (FE-POC76),1,no, 1-7 (FE-POC76)_closed_200K,Mesh,2155.959658,386.3292375,7.609030517,-7.817447055,15.42647757,1618.314912,8507.867563,3896.0732
1-8 (FE-POC77),1,no, 1-8 (FE-POC77)_open_200K,Mesh,2939.034863,500.8687953,13.01010735,-8.292134203,21.30224155,0,13872.57422,6599.714727
1-8 (FE-POC77),1,no, 1-8 (FE-POC77)_closed_200K,Mesh,3081.189424,500.8643073,13.00343174,-8.276898837,21.28033057,3335.369415,13858.30522,6596.724848
1-9 (FE-POC78),1,no, 1-9 (FE-POC78)_open_200K,Mesh,2845.039781,603.1287122,12.90558783,-6.377013302,19.28260114,0,14633.84686,6702.713368
1-9 (FE-POC78),1,no, 1-9 (FE-POC78)_closed_200K,Mesh,2958.068967,603.1277489,12.90558783,-6.363995535,19.26958337,2301.38999,14621.89481,6698.475312
2-1 (FE-POC79),1,no, 2-1 (FE-POC79)_open_200K,Mesh,1682.455828,317.2948627,13.79867991,-3.469299053,17.26797896,0,7217.878188,3479.554416
2-1 (FE-POC79),1,no, 2-1 (FE-POC79)_closed_200K,Mesh,1778.876569,317.2194358,13.79867991,-3.469299053,17.26797896,980.0680177,7216.864232,3478.375607
2-1 (FE-POC79)-2,2,no, 2-1 (FE-POC79)-2_open_200K,Mesh,1691.527839,317.9292376,13.76543031,-3.477979242,17.24340955,0,7226.794523,3489.234556
2-1 (FE-POC79)-2,2,no, 2-1 (FE-POC79)-2_closed_200K,Mesh,1796.604167,317.9909979,13.7648869,-3.463487563,17.22837446,984.0622507,7223.722736,3486.597283
2-2 (FE-POC80)_issues_with_model,1,yes, 2-2 (FE-POC80)_open_200K,Mesh,1347.383752,271.9739445,6.907673109,-5.129164913,12.03683802,0,4373.148024,2082.256344
2-2 (FE-POC80)_issues_with_model,1,yes, 2-2 (FE-POC80)_closed_200K,Mesh,1472.924582,271.9575618,6.907673109,-5.124033627,12.03170674,677.3343538,4371.054958,2079.299317
2-2 (FE-POC80)-2,2,no, 2-2 (FE-POC80)-2_open_200K,Mesh,1397.330212,282.2970022,6.67050538,-5.076676596,11.74718198,0,4429.681039,2168.888741
2-2 (FE-POC80)-2,2,no, 2-2 (FE-POC80)-2_closed_200K,Mesh,1479.189829,282.301104,6.67050538,-5.065339039,11.73584442,638.1235289,4425.405821,2166.401747
2-3 (FE-POC81),1,no, 2-3 (FE-POC81)_open_200K,Mesh,1210.778113,239.3016555,8.896187476,-7.136991905,16.03317938,0,5026.793146,2305.433136
2-3 (FE-POC81),1,no, 2-3 (FE-POC81)_closed_200K,Mesh,1300.836024,239.1553506,8.896187476,-7.136991905,16.03317938,779.4013823,5022.259506,2303.927405
2-3 (FE-POC81)-2,2,no, 2-3 (FE-POC81)-2_open_200K,Mesh,1189.27939,236.1487758,8.924350453,-6.599254314,15.52360477,0,4785.365411,2267.716618
2-3 (FE-POC81)-2,2,no, 2-3 (FE-POC81)-2_closed_200K,Mesh,1284.821152,236.064678,8.924350453,-6.599254314,15.52360477,744.8698453,4782.637158,2265.788877
2-4A (FE-POC82),1,no, 2-4A (FE-POC82)_open_200K,Mesh,1439.629171,284.1300903,6.99285445,-6.210144825,13.20299927,0,5341.959575,2276.185812
2-4A (FE-POC82),1,no, 2-4A (FE-POC82)_closed_200K,Mesh,1545.694328,284.1233494,6.99285445,-6.187234897,13.18008935,954.2826622,5333.49299,2271.510919
2-4A (FE-POC82)-2,2,no, 2-4A (FE-POC82)-2_open_200K,Mesh,1400.096467,277.519876,7.53383946,-5.646229862,13.18006932,0,5199.598984,2208.375973
2-4A (FE-POC82)-2,2,no, 2-4A (FE-POC82)-2_closed_200K,Mesh,1502.837371,277.4908158,7.531054307,-5.539379098,13.07043341,928.7917973,5154.596516,2200.820437
2-4B (FE-POC83),1,no, 2-4B (FE-POC83)_open_200K,Mesh,2060.879291,296.2541273,11.00099556,-6.127269814,17.12826537,0,6539.72251,3438.392144
2-4B (FE-POC83),1,no, 2-4B (FE-POC83)_closed_200K,Mesh,2188.442974,296.2616415,11.00099556,-6.119191814,17.12018737,1162.76233,6536.574558,3435.8021
2-4B (FE-POC83)-2,2,no, 2-4B (FE-POC83)-2_open_200K,Mesh,2075.715716,301.9998624,11.09643376,-6.467381842,17.5638156,0,6833.136996,3509.619621
2-4B (FE-POC83)-2,2,no, 2-4B (FE-POC83)-2_closed_200K,Mesh,2188.852085,302.0591811,11.09643376,-6.467381842,17.5638156,1211.267168,6830.353238,3504.948702
2-4C (FE-POC84),1,no, 2-4C (FE-POC84)_open_200K,Mesh,1454.699349,248.4316564,8.090233061,-6.642443223,14.73267628,0,4521.016255,1905.234353
2-4C (FE-POC84),1,no, 2-4C (FE-POC84)_closed_200K,Mesh,1506.164342,248.4297292,8.090233061,-6.619028155,14.70926122,678.1067942,4513.999821,1903.635479
2-4C (FE-POC84)-2,2,no, 2-4C (FE-POC84)-2_open_200K,Mesh,1522.875308,262.2854326,8.119106011,-6.059360396,14.17846641,0,4568.074829,2027.679269
2-4C (FE-POC84)-2,2,no, 2-4C (FE-POC84)-2_closed_200K,Mesh,1583.630268,262.2608933,8.119106011,-6.043311861,14.16241787,718.5400509,4564.135691,2026.985694
2-5 (FE-POC85),1,no, 2-5 (FE-POC85)_open_200K,Mesh,1015.646813,196.5908542,8.30915695,-5.69486598,14.00402293,0,3891.552763,1573.182545
2-5 (FE-POC85),1,no, 2-5 (FE-POC85)_closed_200K,Mesh,1065.395829,196.5774241,8.30915695,-5.684116701,13.99327365,592.0843413,3888.565665,1572.276443
2-5 (FE-POC85)-2,2,no, 2-5 (FE-POC85)-2_open_200K,Mesh,1067.291959,206.260114,8.138591612,-6.193988658,14.33258027,0,4182.456905,1705.031701
2-5 (FE-POC85)-2,2,no, 2-5 (FE-POC85)-2_closed_200K,Mesh,1121.663574,206.218324,8.138591612,-6.177057697,14.31564931,636.9317262,4177.516203,1704.351961
2-6A (FE-POC86),1,no, 2-6A (FE-POC86)_open_200K,Mesh,1441.982091,286.4864823,7.877823461,-5.57807267,13.45589613,0,4984.407921,2300.144938
2-6A (FE-POC86),1,no, 2-6A (FE-POC86)_closed_200K,Mesh,1528.954787,286.4935576,7.877823461,-5.565591661,13.44341512,794.7851475,4980.736511,2297.056958
2-6A (FE-POC86)-2,2,no, 2-6A (FE-POC86)-2_open_200K,Mesh,1494.576241,295.5566461,8.244156502,-5.446234528,13.69039103,0,5226.561058,2446.398993
2-6A (FE-POC86)-2,2,no, 2-6A (FE-POC86)-2_closed_200K,Mesh,1592.113925,295.5552227,8.244156502,-5.445258785,13.68941529,829.1696095,5225.712656,2425.522109
2-6B (FE-POC87),1,no, 2-6B (FE-POC87)_open_200K,Mesh,1996.182561,379.9942062,8.499419537,-6.314391477,14.81381101,0,7513.213422,3531.630921
