obs,page_num,survey_round,date,row,column,resident_transient,location,code,count,cafi_size_mm,family,genus,species,notes,obs_numeric,date_numeric,resident_transient_numeric,location_numeric,code_numeric,count_numeric,family_numeric,genus_numeric,species_numeric,notes_numeric
JC,1.0,1.0,2019-12-09,1,2,resident,block,HATR,1,4.0,labridae,halichoeres,trimaculatus,"may be 2 species recorded as ""wrasse""",,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,block,HATR,1,5.0,labridae,halichoeres,trimaculatus,"may be 2 species recorded as ""wrasse""",,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,transient,sand,HATR,1,6.0,labridae,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,transient,sand,HATR,1,8.0,labridae,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,STNI,1,3.0,pomacentridae,stegastes,nigricans,listed as yellow hue damsel,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,STNI,1,3.0,pomacentridae,stegastes,nigricans,listed as yellow hue damsel,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAFL,1,2.0,pomacentridae,dascullys,flavicaudus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAFL,1,3.0,pomacentridae,dascullys,flavicaudus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAFL,1,3.0,pomacentridae,dascullys,flavicaudus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAFL,1,4.0,pomacentridae,dascullys,flavicaudus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAFL,1,4.0,pomacentridae,dascullys,flavicaudus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,transient,sand,SCPS,1,18.0,scaridae,,,listed as reddish parrot,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,transient,sand,ACTR,1,14.0,acanthuridae,acanthurus,triostegus,listed as convict tang,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAAR,1,2.0,pomacentridae,dascullys,aruanus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAAR,1,2.0,pomacentridae,dascullys,aruanus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAAR,1,2.0,pomacentridae,dascullys,aruanus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,coral,DAAR,1,3.0,pomacentridae,dascullys,aruanus,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,2,resident,block,goby_no_stripe,1,4.0,gobiidae,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,5.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,5.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAFL,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
