Unnamed: 0,Chunk,Model,Model.type,Surface.Area..cm.2.,Area..cm.2.,Max.height..cm.,Min.height..cm.,Height.range..cm.,Volume..cm.3.,Extent.Volume..cm.3.,Chunk_numeric,Model_numeric,Model.type_numeric
3,1-1 (FE-POC57),1-1 (FE-POC57)_closed,Mesh,7118.84167,1103.12214,21.9543161,-7.779050951,29.73336705,11914.26813,44482.90351,,,
6,1-2 (FE-POC04),1-2 (FE-POC04)_closed,Mesh,2665.978381,479.0544821,16.33870386,-4.768087368,21.10679122,2490.942503,13502.84791,,,
9,1-3 (FE-POC29),1-3 (FE-POC29)_closed,Mesh,5220.104699,932.8078703,22.64691689,-6.541405526,29.18832242,12063.4312,37812.20198,,,
12,1-4 (FE-POC43),1-4 (FE-POC43)_closed,Mesh,686.7263003,183.2244595,7.910262247,-7.165579074,15.07584132,627.1420612,4068.88579,,,
15,1-5 (FE-POC23),1-5 (FE-POC23)_closed,Mesh,969.6157682,213.3799197,8.303805906,-4.733799391,13.0376053,1020.224862,3636.229951,,,
18,1-6 (FE-POC01),1-6 (FE-POC01)_closed,Mesh,9872.90356,1679.146827,30.60746058,-9.111323508,39.71878409,10159.60507,98297.92098,,,
21,1-7 (FE-POC09),1-7 (FE-POC09)_closed,Mesh,2055.139247,512.5674686,7.960169789,-8.476002729,16.43617252,4306.595189,11219.67071,,,
24,1-8 (FE-POC37),1-8 (FE-POC37)_closed,Mesh,8006.464095,1125.413884,27.15512303,-11.95365756,39.10878059,8809.579698,57717.48506,,,
27,1-10 (FE-POC48),1-10 (FE-POC48)_closed,Mesh,4110.568287,650.9575108,19.01491623,-6.203959086,25.21887532,3622.187878,21846.62888,,,
30,1-12 (FE-POC13),1-12 (FE-POC13)_closed,Mesh,1402.429423,369.0551434,7.533029138,-6.475830958,14.0088601,2364.918655,7425.379263,,,
33,1-13 (FE-POC18),1-13 (FE-POC18)_closed,Mesh,736.1512907,173.0670384,4.442634659,-7.461870684,11.90450534,848.0116672,2625.721956,,,
36,1-14 (FE-POC56),1-14 (FE-POC56)_closed,Mesh,5070.040337,804.0799717,16.90368062,-7.683367846,24.58704847,7361.500703,27539.21823,,,
39,1-15 (FE-POC46),1-15 (FE-POC46)_closed,Mesh,2555.248433,519.6012948,11.75539678,-8.040367233,19.79576402,2888.886923,13963.73104,,,
42,2-1 (FE-POC05),2-1 (FE-POC05)_closed,Mesh,204.1189515,71.70451531,-1.096757257,-7.601838617,6.50508136,206.2884949,544.0618921,,,
45,2-2 (FE-POC22),2-2 (FE-POC22)_closed,Mesh,1119.063041,225.004816,5.898081837,-6.947258459,12.8453403,1086.994978,3853.137527,,,
48,2-3 (FE-POC20),2-3 (FE-POC20)_closed,Mesh,8615.845838,1558.533065,23.39689037,-9.961287056,33.35817743,16583.11121,66627.57852,,,
51,2-4 (FE-POC52),2-4 (FE-POC52)_closed,Mesh,449.2507967,113.2511554,2.68755101,-6.812719834,9.500270844,387.8736365,1488.588383,,,
54,2-5 (FE-POC35),2-5 (FE-POC35)_closed,Mesh,643.2979534,152.113213,5.421623788,-6.48703,11.90865379,799.2149963,2347.931599,,,
57,2-6 (FE-POC54),2-6 (FE-POC54)_closed,Mesh,1976.520107,397.3890414,13.57501621,-7.395871106,20.97088732,3605.883262,10906.60779,,,
60,2-7 (FE-POC42),2-7 (FE-POC42)_closed,Mesh,3320.402266,505.8694649,17.96163636,-3.690118619,21.65175498,3503.766523,13436.68426,,,
63,2-8 (FE-POC16),2-8 (FE-POC16)_closed,Mesh,2221.049528,364.3123561,8.158399019,-7.580246963,15.73864598,2210.363923,7156.01642,,,
66,2-9 (FE-POC07),2-9 (FE-POC07)_closed,Mesh,8918.099129,1623.069294,26.74139819,-4.843518174,31.58491636,13686.80813,66821.96336,,,
69,2-10 (FE-POC59),2-10 (FE-POC59)_closed,Mesh,7521.728929,1352.100988,25.18743407,-7.908471932,33.095906,18987.20852,57242.51339,,,
72,2-11 (FE-POC17),2-11 (FE-POC17)_closed,Mesh,7483.069778,1165.270347,21.43859255,-8.555040195,29.99363274,14433.51714,47648.87214,,,
75,2-12 (FE-POC11),2-12 (FE-POC11)_closed,Mesh,1289.572613,238.6925727,12.64073088,-2.656969089,15.29769997,996.6944023,5009.343923,,,
78,2-13_FE-POC40,2-13_FE-POC40_closed,Mesh,449.3933329,118.7502929,2.819362963,-5.959355681,8.778718644,472.8227411,1317.28957,,,
81,2-14 (FE-POC33),2-14 (FE-POC33)_closed,Mesh,2924.399402,573.2010692,15.29800593,-7.817742053,23.11574799,5409.278389,16454.5177,,,
84,2-15 (FE-POC51),2-15 (FE-POC51)_closed,Mesh,228.0839161,72.32579767,0.469153903,-7.296455807,7.76560971,216.6586035,765.0828761,,,
87,3-1 (FE-POC27),3-1 (FE-POC27)_closed,Mesh,322.199418,89.47646193,2.082656718,-6.702059729,8.784716447,248.7547711,1087.799728,,,
90,3-2 (FE-POC21),3-2 (FE-POC21)_closed,Mesh,638.0763046,138.8177235,6.57520688,-6.63471123,13.20991811,418.2380947,2558.237291,,,
93,3-3 (FE-POC02),3-3 (FE-POC02)_closec,Mesh,194.3188062,48.24591536,2.024535169,-6.717141748,8.741676917,155.6784202,613.3315858,,,
96,3-4 (FE-POC45),3-4 (FE-POC45)_closed,Mesh,3165.735872,699.3454348,13.76586331,-6.758904681,20.524768,7609.806478,18489.25959,,,
99,3-5 (FE-POC15),3-5 (FE-POC15)_closed,Mesh,1927.44403,405.7285348,11.15223736,-6.77757539,17.92981275,3415.248953,9235.537112,,,
102,3-6 (FE-POC08),3-6 (FE-POC08)_closed,Mesh,3571.876023,757.6993132,12.94694537,-8.187884992,21.13483036,7647.147792,19825.18097,,,
105,3-7 (FE-POC41),3-7 (FE-POC41_closed,Mesh,5843.221047,988.5481802,27.23685341,-4.741645284,31.97849869,10921.39318,40843.96698,,,
108,3-8 (FE-POC55),3-8 (FE-POC55)_closed,Mesh,3640.491369,550.924967,12.90780863,-7.526957663,20.43476629,3770.274863,14863.36366,,,
111,3-9 (FE-POC10),3-9 (FE-POC10)_closed,Mesh,251.0246867,55.35055203,5.530357571,-3.418111828,8.948469399,163.2472817,725.799219,,,
114,3-10 (FE-POC58),3-10 (FE-POC58)_closed,Mesh,6124.20756,1175.307249,19.74232593,-7.289017609,27.03134354,11290.60153,43684.42151,,,
117,3-11 (FE-POC47),3-11 (FE-POC47)_closed,Mesh,5376.771686,1072.904556,16.6860502,-8.047376077,24.73342628,9897.586883,33799.01483,,,
120,3-12 (FE-POC31),3-12 (FE-POC31)_closed,Mesh,4805.093835,831.9875979,21.31688977,-2.666837702,23.98372747,5739.181742,26108.52618,,,
123,3-13 (FE-POC25),3-13 (FE-POC25)_closed,Mesh,290.7161083,66.90080955,2.602549352,-5.914917024,8.517466376,220.5509343,775.3195141,,,
126,3-14 (FE-POC12),3-14 (FE-POC12)_closed,Mesh,2215.633156,459.3275116,16.33097875,-5.721621859,22.05260061,2220.910774,13897.29051,,,
129,3-15 (FE-POC44),3-15 (FE-POC44)_closed,Mesh,165.7253246,49.4609117,1.231262795,-5.207905476,6.439168272,79.21076855,452.2626732,,,
132,4-1 (FE-POC53),4-1 (FE-POC53)_closed,Mesh,2276.189103,429.4173599,9.820881704,-5.902415572,15.72329728,1952.843576,9280.783049,,,
135,4-2 (FE-POC34),4-2 (FE-POC34)_closed,Mesh,6095.517454,1098.944221,24.16041662,-3.767563889,27.92798051,6364.240042,40544.39669,,,
138,4-3 (FE-POC49),4-3 (FE-POC49)_closed,Mesh,72.04947489,28.53386663,-2.682656463,-7.515467867,4.832811404,37.60040069,193.5023765,,,
141,4-4 (FE-POC06),4-4 (FE-POC06)_closed,Mesh,3397.533971,762.1209165,14.5395966,-8.178956354,22.71855296,7901.667142,23568.43987,,,
144,4-5 (FE-POC38),4-5 (FE-POC38)_closed,Mesh,3570.570345,717.6358216,18.25360353,-5.113658897,23.36726242,7344.699003,24371.80022,,,
147,4-6 (FE-POC32),4-6 (FE-POC32)_closed,Mesh,5532.240029,844.7464477,24.7139266,-4.783212317,29.49713892,3843.085385,30992.31278,,,
150,4-7 (FE-POC14),4-7 (FE-POC14)_closed,Mesh,3227.31316,517.840228,17.37824915,-4.513654182,21.89190333,3486.102457,14740.78337,,,
153,4-8 (FE-POC26),4-8 (FE-POC26)_closed,Mesh,150.5236623,42.57782914,-1.224400316,-7.346686579,6.122286263,106.86435,339.4399977,,,
156,4-9 (FE-POC60),4-9 (FE-POC60)_closed,Mesh,4107.234747,855.2743332,17.86963873,-3.561466847,21.43110558,5104.510054,26170.90298,,,
159,4-10 (FE-POC24),4-10 (FE-POC24)_closed,Mesh,7934.09047,1363.361852,17.56569923,-8.280216034,25.84591526,15059.31867,47198.36393,,,
162,4-11 (FE-POC03),4-11 (FE-POC03)_closed,Mesh,595.1038089,127.7773351,7.437571982,-3.933740401,11.37131238,622.9884277,1994.03753,,,
165,4-12 (FE-POC39),4-12 (FE-POC39)_closed,Mesh,2006.319342,416.5073047,11.17314659,-7.010652557,18.18379915,3414.070966,10214.89438,,,
168,4-13 (FE-POC36),4-13 (FE-POC36)_closed,Mesh,627.4409703,155.1455758,2.88184187,-6.307753823,9.189595693,597.5588318,1829.052652,,,
171,4-14 (FE-POC50),4-14 (FE-POC50)_closed,Mesh,3620.826213,621.6542078,19.88036794,-5.736646062,25.617014,5625.995295,22037.30825,,,
174,4-15 (FE-POC19),4-15 (FE-POC19)_closed,Mesh,4959.389633,841.0340204,15.29698154,-7.900573941,23.19755548,9439.806126,25134.67998,,,
