unnamed: 0,master_sort,old_sort,coral_id,site,code,type,search_term,lowest_level,cafi_size_mm,measurement,alt_size_mm,alt_measurement,extraction_method,photo_num,id_certainty,general_notes,identification_notes,revised_yn,revision_date,identified_by,revised_by,previous_name,worms_id,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species,coral_id_numeric,site_numeric,code_numeric,type_numeric,search_term_numeric,lowest_level_numeric,cafi_size_mm_numeric,measurement_numeric,alt_size_mm_numeric,alt_measurement_numeric,extraction_method_numeric,photo_num_numeric,id_certainty_numeric,general_notes_numeric,identification_notes_numeric,revised_yn_numeric,revision_date_numeric,identified_by_numeric,revised_by_numeric,previous_name_numeric,phylum_numeric,subphylum_numeric,superclass_numeric,class_numeric,subclass_numeric,superorder_numeric,order_numeric,suborder_numeric,infraorder_numeric,superfamily_numeric,family_numeric,subfamily_numeric,genus_numeric,species_numeric
1,2825.0,2815.0,HAU-POC29,,ACHI,crab,Actaeodes hirsutissimus,species,10,carapace_width,,,clove,Unknown Crab 150,certain,,"Black setae on carapace, big claws with white spots",y,2020-05-22,JC,JC,pizza_crab,209051.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Xanthoidea,Xanthidae,Actaeinae,Actaeodes,Actaeodes hirsutissimus,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1162.0,1152.0,HAU-POC13,HAU04,ALAE,shrimp,Alpheopsis aequalis,species,9,rostrum_to_tail,,,clove,Unknown Shrimp 367,revision_possible,gravid,"Alpheopsis aequalis; red stripes on antennae, small claws",y,30-Oct; 2020-05-11,JC,AP; JC; JC,tiger_alpheid; ALPC,220235.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheopsis,Alpheopsis aequalis,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2777.0,2767.0,HAU-POC25,,ALAE,shrimp,Alpheopsis aequalis,species,8,rostrum_to_tail,,,clove,Unknown Shrimp 722,revision_possible,,"Mostly going with ALAE because of the presence of another one on the same colony, but no stripes on antennae",y,31-Oct,AP,AP,possible_ATDJ,220235.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheopsis,Alpheopsis aequalis,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2778.0,2768.0,HAU-POC25,,ALAE,shrimp,Alpheopsis aequalis,species,10,rostrum_to_tail,,,clove,Unknown Shrimp 723,revision_possible,,Stripes on antennae with red stripes,y,31-Oct,AP,AP,possible_ATDJ,220235.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheopsis,Alpheopsis aequalis,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1365.0,1355.0,MAT-POC01,MAT01,ALCL,shrimp,Alpheus clypeatus,species,14,rostrum_to_tail,,,clove,Unknown Shrimp 422,revision_possible,,"Alpheus clypeatus; could be bucephalus, but claw doesn't look right; yellow/green dots in circles; Yellow green dots in middle of clear spots. Not sure best way to tell from ALPA or A. beaucephalus",y,30-Oct; 2020-05-11,JC,AP; JC; JC,blue_pachy; ALPA,210529.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheus,Alpheus clypeatus,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1170.0,1160.0,HAU-POC14,HAU05,ALCO,shrimp,Alpheus collumianus,species,16,rostrum_to_tail,,,clove,Unknown Shrimp 375,certain,,Marking on top seems characteristic besides ALPR and no stripes; big dark spots on banded claw,y,30-Oct,AP,AP,3rd_eye_alpheid,210504.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheus,Alpheus collumianus,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1207.0,1197.0,HAU-POC16,HAU05,ALCO,shrimp,Alpheus collumianus,species,11,rostrum_to_tail,,,smash,Unknown Shrimp 387,certain,in post smash folder,Marking on top seems characteristic besides ALPR and no stripes; big dark spots on banded claw,y,30-Oct,AP,AP,third_eye_alph,210504.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheus,Alpheus collumianus,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2561.0,2551.0,HAU-POC32,,ALCO,shrimp,Alpheus collumianus,species,13,rostrum_to_tail,,,clove,,certain,,,,,,,,210504.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheus,Alpheus collumianus,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2562.0,2552.0,HAU-POC32,,ALCO,shrimp,Alpheus collumianus,species,15,rostrum_to_tail,,,clove,,certain,gravid,,,,,,,210504.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheus,Alpheus collumianus,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2631.0,2621.0,HAU-POC33,,ALCO,shrimp,Alpheus collumianus,species,16,rostrum_to_tail,,,smash,,certain,,,,,,,,210504.0,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,,Alpheus,Alpheus collumianus,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
