coral_id,slurry_date,nub,slurry_rep,slurry_volume,slurry_notes,dry_weight,dip_weight,wax_weight,surface_area,wax_dipping_notes,protein_analysis_date,protein_sample_notes,protein_absorbance,protein_absorbance_se,protein_mg_ml,protein_se,carb_analysis_date,carb_sample_notes,carb_absorbance,carb_absorbance_se,carb_mg_ml,carb_se,avg_num_zoox_cells,num_zoox_cells_se,haplotype,dna_collection_date,branch_width,burned_pan,burned_pan_se,burned_pan_dry_res,burned_pan_dry_res_se,dry_tissue,dry_tissue_se,burned_pan_burned_res,burned_pan_burned_res_se,afdw_g_ml,afdw_se,protein_mg_cm2,carb_mg_cm2,zooxdensity,zoox_cells_cm2,afdw_mg_cm2,protein_mg_cm2_se,carb_mg_cm2_se,zooxdensity_se,zoox_cells_cm2_se,afdw_mg_cm2_se
HAU-POC01,2019-08-04,1.0,1,17.0,,22.331,24.06,1.729,6615.96,,2020-11-03,,0.328333333,0.004176655,0.162,0.002516611,2020-11-19,,0.606666667,0.007423686,0.195333333,0.002185813,,,1a_Pm,2019-07-04,tight,0.7765,0.006,0.8274,0.006,0.0509,0.0,0.81305,0.00605,0.01435,5e-05,0.0004162661201095,0.0005019175842961,,,0.0368729557010623,6.46654257280878e-06,5.61654257280878e-06,,,0.0001284771975646
HAU-POC02,2019-08-04,2.0,2,13.0,used for AFDW,20.732,22.355,1.623,6214.22,,,,,,,,,,,,,,32.66666667,1.64892518,8a,2019-07-04,tight,0.78595,0.00165,0.8529,0.0203,0.06695,0.01865,0.8231,0.0024,0.0298,0.0179,,,326666.6667,683.378874114531,0.0623408891220459,,,16489.2518,34.495121415077,0.0374463729961282
HAU-POC03,2019-08-04,2.0,1,25.0,,22.738,24.449,1.711,6547.74,,2020-11-02,pellet,0.397666667,0.000881917,0.828,0.002081666,2020-11-18,,0.386666667,0.001333333,0.114666667,0.000333333,141.5,3.603239283,1a_Pe,2019-07-04,wide,0.7848,0.0061,0.83245,0.00595,0.04765,0.00015,0.82085,0.00605,0.0116,0.0001,0.0031613961458457,0.0004378100955444,1415000.0,5402.62747146344,0.0442900909321384,7.94803245089145e-06,1.27270248971401e-06,36032.39283,137.575685770968,0.0003818111287253
HAU-POC04,2019-08-04,1.0,1,22.0,,39.695,42.043,2.348,8961.97,,2020-11-03,pellet,0.458666667,0.005456902,1.572,0.020108042,2020-11-19,,0.775333333,0.006765928,0.247666667,0.001855921,108.3333333,1.994436707,1a_Pm,2019-07-05,wide,0.77375,0.00085,0.8245,0.0012,0.05075,0.00035,0.80965,0.00105,0.01485,0.00015,0.0038589729713444,0.0006079764464732,1083333.333,2659.38552862819,0.0364540385651815,4.93615716187401e-05,4.55594718571921e-06,19944.36707,48.9597795507015,0.0003682226117695
HAU-POC05,2019-08-04,2.0,2,15.0,used for AFDW,5.982,6.505,0.523,2045.22,,2020-11-01,smear,0.251,0.002516611,0.448666667,0.006227181,2020-11-16,,0.172666667,0.001763834,0.053333333,0.000333333,16.36666667,0.772342806,1a_Pm,2019-07-05,tight,0.77985,0.00705,0.82155,0.00375,0.0417,0.0033,0.8146,0.0068,0.00695,0.00305,0.003290599546748,0.0003911559612168,163666.6667,1200.35986373104,0.0509725115146537,4.56712309678176e-05,2.4447223281603e-06,7723.42806,56.644967729633,0.0223692316718984
HAU-POC06,2019-08-04,2.0,1,21.0,,22.352,24.562,2.21,8438.95,,2020-11-02,pellet,0.423,0.004041452,0.876666667,0.009279607,2020-11-17,,0.466333333,0.000666667,0.137666667,0.000333333,66.58333333,1.802600534,1a_Pe,2019-07-05,wide,0.78205,0.00675,0.8302,0.0066,0.04815,0.00015,0.81885,0.00685,0.01135,0.00025,0.0021815510231723,0.0003425781651745,665833.3333,1656.90044369264,0.0282440350991533,2.30919423624977e-05,8.29486251251637e-07,18026.00534,44.8570156405714,0.000622115310554
HAU-POC07,2019-08-04,2.0,1,20.0,,16.528,17.793,1.265,4857.4,,2020-11-03,smear,0.424666667,0.009333333,1.445333333,0.034953938,2020-11-19,,0.59,0.0090185,0.19,0.003,102.9166667,4.697611149,3b,2019-07-07,wide,0.78185,0.00635,0.8312,0.0067,0.04935,0.00035,0.81875,0.00665,0.01245,5e-05,0.0059510574916622,0.0007823115246839,1029166.667,4237.52076007741,0.0512619920121876,0.0001439203606867,1.23522872318524e-05,46976.11149,193.420807386668,0.0002058714538642
HAU-POC08,2019-08-04,1.0,1,21.0,,19.939,21.446,1.507,5774.58,,2020-11-03,,0.575,0.002,1.232,0.00450925,2020-11-17,,0.626666667,0.018906201,0.181333333,0.005364492,108.0,5.615454864,1a_Pe,2019-07-07,tight,0.7831,0.0042,0.83325,0.00405,0.05015,0.00015,0.82035,0.00435,0.0129,0.0003,0.0044803258418794,0.0006594418975925,1080000.0,3927.5583678813,0.0469125027274711,1.6398465342934e-05,1.95086624481781e-05,56154.54864,204.213210560768,0.0010909884355225
HAU-POC10,2019-08-04,1.0,1,28.0,,32.071,34.378,2.307,8806.58,,2020-11-02,pellet/smear,0.615333333,0.001855921,1.319666667,0.004255715,2020-11-17,,0.587,0.005686241,0.170333333,0.001763834,68.91666667,3.061140442,1a_Pm,2019-07-08,tight,0.7817,0.0134,0.83145,0.01285,0.04975,0.00055,0.81805,0.01335,0.0134,0.0005,0.0041958020793543,0.0005415647531731,689166.6667,2191.16463685108,0.0426045070844755,1.3530794019926e-05,5.60800583200289e-06,30611.40442,97.3271489908682,0.0015897204135998
HAU-POC11,2019-08-04,2.0,2,33.0,used for AFDW,47.642,51.432,3.79,14427.15,,2020-10-28,smear,0.727333333,0.017638342,1.901666667,0.050775103,,,,,,,88.83333333,3.815902398,3f,2019-07-08,tight,0.7887,0.0098,0.8376,0.0099,0.0489,0.0001,0.82405,0.00985,0.01355,5e-05,0.0043497849548247,,888333.3333,2031.93284875391,0.0309936473939759,0.0001161406375479,,38159.02398,87.2831980910991,0.0001143677025607
